name,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,ticker
Wheaton Precious Metals Corp.,-,19.78,1.62,0.20%,451.52M,-2.87%,14.31B,24.64,3.91%,0.00%,449.83M,-1.47%,733.30M,3.96,0.27,64.10%,3.01%,-17.52%,1.16B,12.36,48.30%,1.08%,4.94,-32.77%,14.21,2.26,11.60%,54.27,-22.95%,1.01,31.90,5.00%,11.70%,29.66 - 51.90,-25.23%,0.60,20.47,29.90%,12.10%,-38.16%,0.55,1.87%,21.30,6.20%,55.70%,8.24%,1.10,44,21.30,-8.30%,63.80%,47.49,3.37% 3.06%,Yes,0.00,-10.50%,63.40%,1.22,31.68,Yes,0.00,Aug 11 AMC,36.90%,2.74M,32.10,1.90,0.45%,-2.81%,-20.68%,"3,342,571",1.33%,WPM
Pan American Silver Corp.,-,-,-0.30,1.60%,210.51M,-0.82%,3.31B,22.03,144.03%,0.00%,210.27M,-6.14%,-63.20M,-,0.09,60.90%,2.78%,-27.24%,1.66B,1.99,-45.30%,2.11%,2.30,-42.87%,11.75,1.34,-1.80%,-,-35.93%,1.15,13.73,17.14%,-2.40%,14.40 - 30.51,-36.78%,0.40,509.57,-6.70%,6.50%,-48.39%,1.29,2.54%,1.20,16.10%,12.60%,9.38%,0.71,7100,2.40,-10.90%,5.50%,43.35,3.83% 3.62%,Yes,0.03,-345.20%,-3.80%,1.30,15.68,Yes,0.02,Aug 10 AMC,-,2.54M,15.75,2.00,0.01%,-11.17%,-30.12%,"3,300,666",0.45%,PAAS
SSR Mining Inc.,-,9.93,1.38,0.60%,212.60M,-3.45%,2.84B,11.82,-2.76%,-4.58%,207.45M,-6.60%,310.50M,-,0.25,67.60%,3.79%,-26.89%,1.41B,2.02,74.20%,3.44%,3.14,-35.78%,17.04,0.81,6.00%,24.50,-9.07%,4.67,2.94,-,8.80%,12.92 - 24.58,-22.43%,0.28,11.75,21.00%,11.40%,-44.14%,0.96,2.04%,5.20,24.60%,53.00%,6.27%,0.51,2429,7.10,-15.20%,28.30%,41.06,3.41% 3.28%,Yes,0.12,-19.50%,22.10%,1.27,13.60,Yes,0.10,Aug 02 BMO,16.40%,2.50M,13.73,2.00,-2.16%,-9.74%,-24.89%,"3,171,620",0.96%,SSRM
Hecla Mining Company,-,2005.00,0.00,1.40%,539.40M,-3.84%,2.15B,22.53,249.02%,0.00%,515.88M,-5.65%,1.00M,-,0.01,64.10%,3.25%,-11.87%,756.40M,2.84,435.70%,-0.30%,2.50,-42.22%,3.31,1.21,0.00%,6.12,-29.35%,0.37,10.84,-,0.10%,3.44 - 7.66,-23.15%,0.03,47.02,-16.80%,5.00%,-47.65%,2.07,0.62%,1.60,4.60%,22.60%,16.57%,0.23,1650,2.00,-12.30%,4.70%,47.39,5.37% 5.18%,Yes,0.00,-626.60%,0.10%,2.70,3.84,Yes,0.28,Aug 04 BMO,-,6.70M,4.01,2.50,-1.02%,-3.07%,-21.18%,"18,059,775",4.43%,HL
Compania de Minas Buenaventura S.A.A.,-,8.56,0.72,37.20%,253.99M,-2.05%,1.41B,7.75,-7.00%,0.00%,251.45M,11.11%,183.80M,0.46,0.20,62.40%,2.40%,-18.31%,856.70M,1.65,187.50%,-2.58%,3.37,-39.75%,11.72,0.53,-,9.74,-10.40%,1.43,4.34,18.43%,-,5.09 - 12.35,-15.30%,0.07,-,19.20%,-1.20%,-49.80%,0.62,1.18%,1.70,-3.40%,5.80%,21.81%,0.30,2043,1.90,-37.70%,-,57.25,4.67% 5.03%,Yes,0.25,-203.20%,-,1.87,6.14,Yes,0.24,Jul 26 AMC,-,1.79M,6.20,2.60,8.17%,6.29%,-21.81%,"3,338,457",0.98%,BVN
"First Industrial Realty Trust, Inc.",-,21.36,2.36,0.39%,132.05M,-4.96%,6.73B,43.94,-31.93%,0.00%,131.55M,-9.34%,309.80M,2.14,0.27,98.00%,1.58%,7.99%,498.20M,13.51,36.30%,-0.25%,2.18,-15.69%,17.44,2.89,7.20%,62.55,-6.84%,1.01,49.77,10.00%,14.20%,45.79 - 66.74,-23.87%,1.18,-,14.80%,4.60%,-24.48%,0.97,2.34%,-,4.70%,72.60%,10.06%,1.08,162,-,10.70%,38.20%,40.46,2.08% 1.98%,Yes,0.83,120.30%,62.20%,3.12,50.95,Yes,0.83,Jul 20 AMC,47.90%,953.67K,50.40,2.30,-3.36%,-2.02%,-10.71%,"2,972,166",-1.08%,FR
MAG Silver Corp.,-,76.25,0.16,1.03%,98.24M,-6.80%,1.60B,10.64,125.79%,0.00%,97.70M,-7.08%,-,-,0.12,52.62%,2.66%,-7.01%,-,-,766.70%,-,5.31,-30.84%,5.27,2.31,-,18.34,-32.11%,0.45,27.06,-,-,10.32 - 21.73,-22.14%,-,-,-,-,-43.86%,1.19,-,30.10,-,-,18.22%,0.61,10,30.10,-,-,45.27,5.19% 4.60%,Yes,0.00,121.20%,-,1.84,12.19,Yes,0.00,Aug 15 BMO,-,488.46K,12.20,2.30,-2.70%,-2.56%,-16.27%,"899,757",0.08%,MAG
"Coeur Mining, Inc.",-,-,-0.51,0.20%,278.04M,-6.86%,797.69M,48.31,140.00%,0.00%,276.53M,-5.32%,-135.30M,-,-0.04,72.60%,6.64%,-18.10%,808.40M,0.99,-218.60%,-1.82%,3.86,-40.13%,3.08,0.93,-7.60%,4.50,-54.69%,0.58,4.93,-,-16.10%,2.54 - 7.64,-43.45%,-,-,-23.80%,-1.30%,-62.70%,1.76,-,1.30,7.80%,32.30%,12.20%,0.20,2105,1.60,-5.00%,-1.70%,46.69,7.25% 6.13%,Yes,0.64,-318.40%,-16.70%,2.66,2.84,Yes,0.61,Aug 03 AMC,-,4.75M,2.85,2.70,-1.72%,-3.38%,-29.92%,"12,632,905",0.35%,CDE
Endeavour Silver Corp.,-,-,-0.03,2.40%,189.63M,-2.25%,563.31M,28.95,20.69%,0.00%,189.18M,-5.00%,-5.20M,-,0.01,26.40%,2.63%,-15.08%,171.60M,3.28,964.70%,9.85%,2.23,-38.34%,1.56,1.95,-1.60%,-,-29.95%,0.67,4.52,-,-2.00%,2.72 - 5.95,-27.96%,-,-,20.00%,2.60%,-48.91%,1.46,-,4.10,1.10%,26.40%,11.76%,0.17,15,5.10,-35.60%,10.70%,47.13,5.11% 4.91%,Yes,0.05,-270.50%,-3.00%,2.13,2.94,Yes,0.03,Aug 09 BMO,-,2.23M,3.04,2.40,-0.38%,-6.33%,-22.41%,"4,749,562",3.40%,EXK
ADT Inc.,-,-,-0.05,0.90%,902.99M,-2.62%,7.48B,12.25,27.05%,0.00%,786.46M,1.87%,-23.90M,-,0.08,91.60%,1.02%,32.85%,5.84B,1.28,49.30%,1.18%,3.32,4.48%,3.74,2.18,-0.10%,10.25,3.03%,0.05,171.63,-11.67%,-0.80%,6.00 - 10.39,-2.85%,0.14,5.37,10.30%,0.80%,-21.37%,1.96,1.71%,0.30,12.50%,69.10%,36.17%,0.28,25000,0.50,22.70%,4.80%,55.89,3.41% 2.97%,Yes,2.91,166.10%,-0.40%,1.91,8.21,Yes,2.66,Aug 04 BMO,-,2.42M,8.17,2.70,3.63%,8.20%,9.55%,"4,603,090",-0.49%,ADT
